球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
richaun_holmes,里乔恩 霍姆斯,10.4,-,1.1,-,7.1,-,65.90%,-,40.00%,-,77.80%,-,0.93,-,0.38,-,1038
jeremy_lamb,杰里米 兰姆,7.3,-,1.4,-,2.8,-,38.30%,-,32.40%,-,84.00%,-,0.39,-,0.54,-,1000
justin_holiday,贾斯廷 霍勒迪,10.1,-,1.7,-,2.6,-,39.40%,-,36.70%,-,80.60%,-,0.45,-,0.77,-,480
josh_jackson,约什 杰克逊,6.4,-,1.1,-,2.8,-,40.00%,-,25.40%,-,71.40%,-,0.43,-,0.51,-,477
davion_mitchell,戴维恩 米切尔,11.5,87,4.2,37,2.2,187,41.80%,84,31.60%,124,65.90%,-,0.3,105,0.7,105,460
maurice_harkless,莫里斯 哈克利斯,4.6,-,0.5,-,2.4,-,45.90%,-,30.70%,-,71.40%,-,0.51,-,0.62,-,435
terence_davis,特伦斯 戴维斯,10.4,-,1.3,-,3.1,-,42.30%,-,32.90%,-,81.80%,-,0.33,-,0.87,-,400
alex_len,亚历克斯 莱恩,6,-,1.2,-,4.1,-,53.40%,-,28.60%,-,65.10%,-,0.67,-,0.36,-,373
donte_divincenzo,唐特 迪温琴佐,9,-,2.8,-,4,-,35.10%,-,33.90%,-,84.30%,-,0.19,-,1.14,-,304
trey_lyles,特雷 莱尔斯,10.5,-,1.2,-,5.1,-,46.60%,-,32.10%,-,80.20%,-,0.43,-,0.37,-,250
damian_jones,达米安 琼斯,8.1,-,1.2,-,4.4,-,65.80%,-,34.50%,-,71.80%,-,0.84,-,0.46,-,198
chimezie_metu,奇梅齐耶 梅图,8.9,134,1,177,5.6,53,45.20%,-,30.60%,-,78.00%,-,0.5,66,0.9,64,176
neemias_queta,内米亚斯 克塔,3.2,-,0.4,-,2.2,-,44.70%,-,0%,-,64.70%,-,0.57,-,0.07,-,46
rudy_gobert,鲁迪 戈贝尔,12,-,0.5,-,13.2,-,63.60%,-,0%,-,68.20%,-,1,-,0.17,-,3534
donovan_mitchell,多诺万 米切尔,25.5,-,5.7,-,4.3,-,39.80%,-,20.80%,-,88.10%,-,0.5,-,0.67,-,2810
mike_conley,迈克 康利,9.2,-,4.8,-,3.2,-,33.30%,-,20.00%,-,80.00%,-,0.33,-,0.83,-,2100
bojan_bogdanovic,博扬 波格丹诺维奇,18,-,1.7,-,4.2,-,48.10%,-,33.30%,-,79.20%,-,0,-,0.33,-,1785
jordan_clarkson,乔丹 克拉克森,17.5,-,1.3,-,3.2,-,54.80%,-,37.50%,-,88.90%,-,0.17,-,0.5,-,1150
royce_o'neale,罗伊斯 奥尼尔,6.2,-,1.5,-,5.7,-,40.00%,-,28.00%,-,100%,-,0.17,-,0.5,-,850
juancho_hernangomez,胡安 埃尔南戈麦斯,2.3,-,0.8,-,2,-,27.80%,-,33.30%,-,0%,-,0,-,0.33,-,650
rudy_gay,鲁迪 盖伊,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,589
nickeil_alexander-walker,尼基尔 亚历山大 沃克,5,-,1,-,1,-,100%,-,0%,-,100%,-,0,-,1,-,311
hassan_whiteside,哈桑 怀特塞德,1.8,-,0,-,5.2,-,41.70%,-,0%,-,25.00%,-,1.33,-,0.33,-,240
udoka_azubuike,乌多卡 阿祖布伊克,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,198
eric_paschall,埃里克 帕斯卡尔,2,-,0,-,1.2,-,50.00%,-,50.00%,-,100%,-,0,-,0.25,-,152
jared_butler,贾里德 巴特勒,0,-,0,-,1,-,0%,-,0%,-,0%,-,0,-,0,-,93
trent_forrest,特伦特 弗雷斯特,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
xavier_sneed,泽维尔 斯尼德,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
danuel_house,丹纽尔 豪斯,4.3,-,0.7,-,2.8,-,40.90%,-,20.00%,-,75.00%,-,0.17,-,0,-,0
nikola_jokic,尼古拉 约基奇,31,-,5.8,-,13.2,-,57.50%,-,27.80%,-,84.80%,-,1,-,1.6,-,2954
jamal_murray,贾马尔 默里,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,2729
aaron_gordon,阿龙 戈登,13.8,-,2.6,-,7.2,-,42.60%,-,20.00%,-,71.40%,-,1.2,-,0.4,-,1814
will_barton,威尔 巴顿,13.8,-,2.8,-,5.6,-,40.90%,-,39.30%,-,66.70%,-,0.2,-,0.8,-,1563
monte_morris,蒙特 莫里斯,14,-,5.4,-,2.2,-,49.00%,-,42.30%,-,75.00%,-,0,-,1.4,-,884
jamychal_green,杰迈克尔 格林,4,-,0.4,-,2.4,-,37.50%,-,20.00%,-,100%,-,0.2,-,0,-,829
jeff_green,杰夫 格林,3.8,-,0.4,-,3.6,-,35.30%,-,37.50%,-,80.00%,-,0.4,-,0.4,-,450
michael_porter,小迈克尔 波特,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,355
facundo_campazzo,法昆多 坎帕佐,0,-,0.5,-,0.8,-,0%,-,0%,-,0%,-,0,-,0,-,320
austin_rivers,奥斯汀 里弗斯,4.2,-,1.2,-,0.6,-,44.40%,-,33.30%,-,100%,-,0.2,-,1.4,-,240
zeke_nnaji,齐克 纳吉,1.5,-,0,-,0,-,100%,-,100%,-,0%,-,0,-,0,-,238
bryn_forbes,布林 福布斯,4,-,1.4,-,0.6,-,40.00%,-,36.40%,-,80.00%,-,0,-,0.2,-,234
bones_hyland,纳肖恩 海兰德,9.2,-,3.2,-,2,-,36.10%,-,34.80%,-,85.70%,-,0,-,0.2,-,210
vlatko_cancar,弗拉特科 钱查尔,2.5,-,0.5,-,1,-,66.70%,-,50.00%,-,0%,-,0,-,0,-,152
markus_howard,马库斯 霍华德,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
davon_reed,达文 里德,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
